契約項目編號,契約項目名稱,單價
Y6N10C0001A0,接線2 mm2及以下,41.6
Y6N10C0001B0,接線2 mm2及以下,20.8
Y6N10C0001C0,接線2 mm2及以下,45.76
Y6N10C0001D0,接線2 mm2及以下,22.88
Y6N10C0001E0,接線2 mm2及以下,49.91
Y6N10C0001F0,接線2 mm2及以下,24.96
Y6N10C0001G0,接線2 mm2及以下,54.07
Y6N10C0001H0,接線2 mm2及以下,27.04
Y6N10C0002A0,接線 3.5~5.5 mm2,50.45
Y6N10C0002B0,接線 3.5~5.5 mm2,25.23
Y6N10C0002C0,接線 3.5~5.5 mm2,55.5
Y6N10C0002D0,接線 3.5~5.5 mm2,27.75
Y6N10C0002E0,接線 3.5~5.5 mm2,60.54
Y6N10C0002F0,接線 3.5~5.5 mm2,30.28
Y6N10C0002G0,接線 3.5~5.5 mm2,65.59
Y6N10C0002H0,接線 3.5~5.5 mm2,32.8
Y6N10C0003A0,接線 8~14  mm2,64.09
Y6N10C0003B0,接線 8~14  mm2,32.05
Y6N10C0003C0,接線 8~14  mm2,70.5
Y6N10C0003D0,接線 8~14  mm2,35.26
Y6N10C0003E0,接線 8~14  mm2,76.91
Y6N10C0003F0,接線 8~14  mm2,38.46
Y6N10C0003G0,接線 8~14  mm2,83.32
Y6N10C0003H0,接線 8~14  mm2,41.67
Y6N10C0004A0,接線 22 mm2,70.57
Y6N10C0004B0,接線 22 mm2,35.29
Y6N10C0004C0,接線 22 mm2,77.63
Y6N10C0004D0,接線 22 mm2,38.82
Y6N10C0004E0,接線 22 mm2,84.68
Y6N10C0004F0,接線 22 mm2,42.35
Y6N10C0004G0,接線 22 mm2,91.74
Y6N10C0004H0,接線 22 mm2,45.88
Y6N10C0005A0,接線 38~60  mm2,98.19
Y6N10C0005B0,接線 38~60  mm2,49.09
Y6N10C0005C0,接線 38~60  mm2,108.01
Y6N10C0005D0,接線 38~60  mm2,54
Y6N10C0005E0,接線 38~60  mm2,117.83
Y6N10C0005F0,接線 38~60  mm2,58.91
Y6N10C0005G0,接線 38~60  mm2,127.65
Y6N10C0005H0,接線 38~60  mm2,63.82
Y6N10C0006A0,接線 100~150  mm2,184.1
Y6N10C0006B0,接線 100~150  mm2,92.05
Y6N10C0006C0,接線 100~150  mm2,202.51
Y6N10C0006D0,接線 100~150  mm2,101.26
Y6N10C0006E0,接線 100~150  mm2,220.92
Y6N10C0006F0,接線 100~150  mm2,110.46
Y6N10C0006G0,接線 100~150  mm2,239.33
Y6N10C0006H0,接線 100~150  mm2,119.67
Y6N10C0007A0,接線 200~325  mm2,228.42
Y6N10C0007B0,接線 200~325  mm2,114.21
Y6N10C0007C0,接線 200~325  mm2,251.26
Y6N10C0007D0,接線 200~325  mm2,125.63
Y6N10C0007E0,接線 200~325  mm2,274.1
Y6N10C0007F0,接線 200~325  mm2,137.06
Y6N10C0007G0,接線 200~325  mm2,296.95
Y6N10C0007H0,接線 200~325  mm2,148.47
Y6N10C0008A0,接線 400~500  mm2 (含500mm2以上),347.74
